NCM;DESCRIÇÃO;ALÍQUOTA (%)
2916.31.2;Sais;
2916.31.21;De sódio;0
2916.31.22;De amônio;0
2916.31.29;Outros;0
2916.31.3;Ésteres;
2916.31.31;De metila;0
2916.31.32;De benzila;0
2916.31.39;Outros;0
2916.32;-- Peróxido de benzoíla e cloreto de benzoíla;
2916.32.10;Peróxido de benzoíla;0
2916.32.20;Cloreto de benzoíla;0
2916.34.00;-- Ácido fenilacético e seus sais;0
2916.39;-- Outros;
2916.39.10;Cloreto de 4-cloro-alfa-(1-metiletil)benzenoacetila;0
2916.39.20;Ibuprofeno;0
2916.39.30;Ácido 4-cloro-3-nitrobenzóico;0
2916.39.40;Perbenzoato de ter-butila;0
2916.39.90;Outros;0
2917.1;- Ácidos policarboxílicos acíclicos, seus anidridos, halogenetos, peróxidos, perácidos e seus derivados:;
2917.11;-- Ácido oxálico, seus sais e seus ésteres;
2917.11.10;Ácido oxálico e seus sais;0
2917.11.20;Ésteres;0
2917.12;-- Ácido adípico, seus sais e seus ésteres;
2917.12.10;Ácido adípico;0
2917.12.20;Sais e ésteres;0
2917.13;-- Ácido azeláico, ácido sebácico, seus sais e seus ésteres;
2917.13.10;Ácido azeláico, seus sais e seus ésteres;0
2917.13.2;Ácido sebácico, seus sais e seus ésteres;
2917.13.21;Ácido sebácico;0
2917.13.22;Sebacato de dibutila;0
2917.13.23;Sebacato de dioctila;0
2917.13.29;Outros;0
2917.14.00;-- Anidrido maléico;0
2917.19;-- Outros;
2917.19.10;Dioctilsulfossuccinato de sódio;0
2917.19.2;Ácido maléico, seus sais e seus ésteres;
2917.19.21;Ácido maléico;0
2917.19.22;Sais e ésteres;0
2917.19.30;Ácido fumárico, seus sais e seus ésteres;0
2917.19.90;Outros;0
2917.20.00;- Ácidos policarboxílicos ciclânicos, ciclênicos ou cicloterpênicos, seus anidridos, halogenetos, peróxidos, perácidos e seus derivados;0
2917.3;- Ácidos policarboxílicos aromáticos, seus anidridos, halogenetos, peróxidos, perácidos e seus derivados:;
2917.32.00;-- Ortoftalatos de dioctila;0
2917.33.00;-- Ortoftalatos de dinonila ou de didecila;0
2917.34.00;-- Outros ésteres do ácido ortoftálico;0
2917.35.00;-- Anidrido ftálico;0
2917.36.00;-- Ácido tereftálico e seus sais;0
2917.37.00;-- Tereftalato de dimetila;0
2917.39;-- Outros;
2917.39.1;Ácido m-ftálico, seus sais e seus ésteres;
2917.39.11;Ésteres;0
2917.39.19;Outros;0
2917.39.20;Ácido ortoftálico e seus sais;0
2917.39.3;Outros ésteres do ácido tereftálico;
2917.39.31;De dioctila;0
2917.39.39;Outros;0
2917.39.40;Sais e ésteres do ácido trimelítico (sais e ésteres do ácido 1,2,4-benzenotricarboxílico);0
2917.39.50;Anidrido trimelítico (ácido 1,3-dioxo-5-isobenzofuranocarboxílico);0
2917.39.90;Outros;0
2918.1;- Ácidos carboxílicos de função álcool mas sem outra função oxigenada, seus anidridos, halogenetos, peróxidos, perácidos e seus derivados:;
2918.11.00;-- Ácido láctico, seus sais e seus ésteres;0
2918.12.00;-- Ácido tartárico;0
2918.13;-- Sais e ésteres do ácido tartárico;
2918.13.10;Sais;0
2918.13.20;Ésteres;0
2918.14.00;-- Ácido cítrico;0
2918.15.00;-- Sais e ésteres do ácido cítrico;0
2918.16;-- Ácido glucônico, seus sais e seus ésteres;
2918.16.10;Gluconato de cálcio;0
2918.16.90;Outros;0
2918.18.00;-- Clorobenzilato (ISO);0
2918.19;-- Outros;
2918.19.10;Bromopropilato;0
2918.19.2;"Ácidos biliares, seus sais e seus ésteres; derivados destes produtos";
2918.19.21;Ursodiol (ácido ursodeoxicólico);0
2918.19.22;Ácido quenodeoxicólico;0
2918.19.29;Outros;0
2918.19.30;Ácido 12-hidroxiesteárico;0
2918.19.4;Ácido 2,2-difenil-2-hidroxiacético (ácido benzílico), seus sais e seus ésteres;
2918.19.41;Ácido benzílico;0
2918.19.42;Sais;0
2918.19.43;Ésteres;0
2918.19.90;Outros;0
2918.2;- Ácidos carboxílicos de função fenol mas sem outra função oxigenada, seus anidridos, halogenetos, peróxidos, perácidos e seus derivados:;
2918.21;-- Ácido salicílico e seus sais;
2918.21.10;Ácido salicílico;0
2918.21.20;Sais;0
2918.22;-- Ácido O-acetilsalicílico, seus sais e seus ésteres;
2918.22.1;Ácido O-acetilsalicílico e seus sais;
2918.22.11;Ácido O-acetilsalicílico;0
2918.22.12;O-Acetilsalicilato de alumínio;0
2918.22.19;Outros;0
2918.22.20;Ésteres;0
2918.23.00;-- Outros ésteres do ácido salicílico e seus sais;0
2918.29;-- Outros;
2918.29.10;Ácidos hidroxinaftóicos;0
2918.29.2;Ácido p-hidroxibenzóico, seus sais e seus ésteres;
2918.29.21;Ácido p-hidroxibenzóico;0
2918.29.22;Metilparabeno;0
2918.29.23;Propilparabeno;0
2918.29.29;Outros;0
2918.29.30;Ácido gálico, seus sais e seus ésteres;0
2918.29.40;Tetrakis(3-(3,5-di-ter-butil-4-hidroxifenil)propionato) de pentaeritritila;0
2918.29.50;3-(3,5-Di-ter-butil-4-hidroxifenil)propionato de octadecila;0
2918.29.90;Outros;0
2918.30;- Ácidos carboxílicos de função aldeído ou cetona mas sem outra função oxigenada, seus anidridos, halogenetos, peróxidos, perácidos e seus derivados;
2918.30.10;Cetoprofeno;0
2918.30.20;Butirilacetato de metila;0
2918.30.3;Ácido deidrocólico e seus sais;
2918.30.31;Ácido deidrocólico;0
2918.30.32;Deidrocolato de sódio;0
2918.30.33;Deidrocolato de magnésio;0
2918.30.39;Outros;0
2918.30.40;Acetilacetato de 2-nitrometilbenzilideno;0
2918.30.90;Outros;0
2918.9;- Outros:;
2918.91.00;-- 2,4,5-T (ISO) (ácido 2,4,5-triclorofenoxiacético), seus sais e seus ésteres;0
2918.99;-- Outros;
2918.99.1;"Ácido fenoxiacético, seus sais e seus ésteres; derivados destes produtos";
2918.99.11;Ácido fenoxiacético, seus sais e seus ésteres;0
2918.99.12;Ácido 2,4-diclorofenoxiacético (2,4-D), seus sais e seus ésteres;0
2918.99.19;Outros;0
2918.99.2;"Ácidos fenoxibutanóicos, seus sais e seus ésteres; derivados destes produtos";
2918.99.21;Ácidos diclorofenoxibutanóicos, seus sais e seus ésteres;0
2918.99.29;Outros;0
2918.99.30;Acifluorfen sódico;0
2918.99.40;Naproxeno;0
2918.99.50;Ácido 3-(2-cloro-alfa, alfa, alfa-trifluor-p-toliloxi)benzóico;0
2918.99.60;Diclofop-metila;0
2918.99.9;Outros;
2918.99.91;Fenofibrato;0
2918.99.92;Ácidos metilclorofenoxiacéticos, seus sais e seus ésteres;0
2918.99.93;5-(2-Cloro-4-trifluorometilfenoxi)-2-nitrobenzoato de 1'-(carboetoxi)etila (lactofen);0
2918.99.94;Ácido 4-(4-hidroxifenoxi)-3,5-diiodofenilacético;0
2918.99.99;Outros;0
2919.10.00;- Fosfato de tris(2,3-dibromopropila);0
2919.90;- Outros;
2919.90.10;De tributila;0
2919.90.20;De tricresila;0
2919.90.30;De trifenila;0
2919.90.40;Diclorvós (DDVP);0
2919.90.50;Lactofosfato de cálcio;0
2919.90.60;Clorfenvinfós;0
2919.90.90;Outros;0
2920.1;"- Ésteres tiofosfóricos (fosforotioatos) e seus sais; seus derivados halogenados, sulfonados, nitrados ou nitrosados:";
2920.11;-- Paration (ISO) e paration-metila (ISO) (metil paration);
2920.11.10;Paration (etil paration);0
2920.11.20;Paration-metila (metil paration);0
2920.19;-- Outros;
2920.19.10;Fenitrotion;0
2920.19.20;Cloreto de fosforotioato de dimetila;0
2920.19.90;Outros;0
2920.90;- Outros;
2920.90.1;Fosfitos, exceto os de metila e de etila;
2920.90.13;De alquila de C3 a C13 ou de alquil-arila;0
2920.90.14;De difenila;0
2920.90.15;Outros, de arila;0
2920.90.16;Fosetil Al;0
2920.90.17;De tris(2,4-di-ter-butilfenila);0
2920.90.19;Outros;0
2920.90.2;Sulfitos;
2920.90.21;Endossulfan;0
2920.90.22;Propargite;0
2920.90.29;Outros;0
2920.90.3;Nitratos;
2920.90.31;De propatila;0
2920.90.32;Nitroglicerina;0
2920.90.33;Tetranitrato de pentaeritritol (PETN, nitropenta, pentrita);0
2920.90.39;Outros;0
2920.90.4;Sulfatos;
2920.90.41;De alquila de C6 a C22;0
2920.90.42;De monoalquildietilenoglicol ou de monoalquiltrietilenoglicol;0
2920.90.49;Outros;0
2920.90.5;Silicatos;
2920.90.51;De etila;0
2920.90.59;Outros;0
2920.90.6;Fosfitos de metila e de etila;
2920.90.61;Fosfitos de dimetila;0
2920.90.62;Fosfitos de trimetila;0
2920.90.63;Fosfitos de dietila;0
2920.90.64;Fosfitos de trietila;0
2920.90.69;Outros;0
2920.90.90;Outros;0
2921.1;"- Monoaminas acíclicas e seus derivados; sais destes produtos:";
2921.11;-- Mono-, di- ou trimetilamina e seus sais;
2921.11.1;Monometilamina e seus sais;
2921.11.11;Monometilamina;0
2921.11.12;Sais;0
2921.11.2;Dimetilamina e seus sais;
2921.11.21;Dimetilamina;0
2921.11.22;2,4-Diclorofenoxiacetato de dimetilamina;0
2921.11.23;Metilclorofenoxiacetato de dimetilamina;0
2921.11.29;Outros;0
2921.11.3;Trimetilamina e seus sais;
2921.11.31;Trimetilamina;0
2921.11.32;Cloridrato de trimetilamina;0
2921.11.39;Outros;0
2921.19;-- Outros;
2921.19.1;"Etilaminas e seus derivados; sais destes produtos";
2921.19.11;Monoetilamina e seus sais;0
2921.19.12;Trietilamina;0
2921.19.13;Bis(2-cloroetil)etilamina;0
2921.19.14;Triclormetina (DCI) (tris(2-cloroetil)amina);0
2921.19.15;Dietilamina e seus sais, exceto etansilato (ethamsylate);0
2921.19.19;Outros;0
2921.19.2;"n-Propilaminas e isopropilaminas; sais destes produtos";
2921.19.21;Mono-n-propilamina e seus sais;0
2921.19.22;Di-n-propilamina e seus sais;0
2921.19.23;Monoisopropilamina e seus sais;0
2921.19.24;Diisopropilamina e seus sais;0
2921.19.29;Outros;0
2921.19.3;Butilaminas e seus sais;
2921.19.31;Diisobutilamina e seus sais;0
2921.19.39;Outros;0
2921.19.4;Monoalquilaminas, metildialquilaminas e dialquilaminas, com grupos alquila de C10 a C18;
2921.19.41;Metildialquilaminas;0
2921.19.49;Outras;0
2921.19.9;Outros;
2921.19.91;Clormetina (DCI) (bis(2-cloroetil)metilamina);0
2921.19.92;N,N-Dialquil-2-cloroetilamina, com grupos alquila de C1 a C3, e seus sais protonados;0
2921.19.93;Mucato de isometepteno;0
2921.19.99;Outros;0
2921.2;"- Poliaminas acíclicas e seus derivados; sais destes produtos:";
2921.21.00;-- Etilenodiamina e seus sais;0
2921.22.00;-- Hexametilenodiamina e seus sais;0
2921.29;-- Outros;
2921.29.10;Dietilenotriamina e seus sais;0
2921.29.20;Trietilenotetramina e seus sais;0
2921.29.90;Outros;0
2921.30;"- Monoaminas e poliaminas, ciclânicas, ciclênicas ou cicloterpênicas, e seus derivados; sais destes produtos";
2921.30.1;Cicloexilaminas e seus sais;
2921.30.11;Monocicloexilamina e seus sais;0
2921.30.12;Dicicloexilamina;0
2921.30.19;Outros;0
2921.30.20;Propilexedrina;0
2921.30.90;Outros;0
2921.4;"- Monoaminas aromáticas e seus derivados; sais destes produtos:";
2921.41.00;-- Anilina e seus sais;0
2921.42;-- Derivados da anilina e seus sais;
2921.42.1;Ácidos aminobenzenossulfônicos e seus sais;
2921.42.11;Ácido sulfanílico e seus sais;0
2921.42.19;Outros;0
2921.42.2;Cloroanilinas e seus sais;
2921.42.21;3,4-Dicloroanilina e seus sais;0
2921.42.29;Outros;0
2921.42.3;Nitroanilinas e seus sais;
2921.42.31;4-Nitroanilina;0
2921.42.39;Outros;0
2921.42.4;Cloronitroanilinas e seus sais;
2921.42.41;5-Cloro-2-nitroanilina;0
2921.42.49;Outros;0
2921.42.90;Outros;0
2921.43;"-- Toluidinas e seus derivados; sais destes produtos";
2921.43.1;Toluidinas e seus sais;
2921.43.11;o-Toluidina;0
2921.43.19;Outros;0
2921.43.2;"Derivados das toluidinas; sais destes produtos";
2921.43.21;3-Nitro-4-toluidina e seus sais;0
2921.43.22;Trifluralina;0
2921.43.23;4-Cloro-2-toluidina;0
2921.43.29;Outros;0
2921.44;"-- Difenilamina e seus derivados; sais destes produtos";
2921.44.10;Difenilamina e seus sais;0
2921.44.2;"Derivados da difenilamina; sais destes produtos";
2921.44.21;n-Octildifenilamina;0
2921.44.22;n-Nonildifenilamina;0
2921.44.29;Outros;0
2921.45.00;"-- 1-Naftilamina (alfa-naftilamina), 2-naftilamina (beta-naftilamina), e seus derivados; sais destes produtos";0
2921.46;"-- Anfetamina (DCI), benzofetamina (DCI), dexanfetamina (DCI), etilanfetamina (DCI), fencanfamina (DCI), fentermina (DCI), lefetamina (DCI), levanfetamina (DCI) e mefenorex (DCI); sais destes produtos";
2921.46.10;Anfetamina e seus sais;0
2921.46.20;Benzofetamina e seus sais;0
2921.46.30;Dexanfetamina e seus sais;0
2921.46.40;Etilanfetamina e seus sais;0
2921.46.50;Fencanfamina e seus sais;0
2921.46.60;Fentermina e seus sais;0
2921.46.70;Lefetamina e seus sais;0
2921.46.80;Levanfetamina e seus sais;0
2921.46.90;Mefenorex e seus sais;0
2921.49;-- Outros;
2921.49.10;Cloridrato de fenfluramina;0
2921.49.2;"Xilidinas e seus derivados; sais destes produtos";
2921.49.21;2,4-Xilidina e seus sais;0
2921.49.22;Pendimetalina;0
2921.49.29;Outros;0
2921.49.3;Tranilcipromina e seus sais;
2921.49.31;Sulfato de tranilcipromina;0
2921.49.39;Outros;0
2921.49.90;Outros;0
2921.5;"- Poliaminas aromáticas e seus derivados; sais destes produtos:";
2921.51;"-- o-, m-, p-Fenilenodiamina, diaminotoluenos, e seus derivados; sais destes produtos";
2921.51.1;"o-,m-,p-Fenilenodiamina; diaminotoluenos; sais destes produtos";
2921.51.11;m-Fenilenodiamina e seus sais;0
2921.51.12;Diaminotoluenos (toluilenodiaminas);0
2921.51.19;Outros;0
2921.51.20;"Derivados sulfonados das fenilenodiaminas e de seus derivados; sais destes produtos";0
2921.51.3;"Outros derivados das fenilenodiaminas; sais destes produtos";
2921.51.31;N,N'-Di-sec-butil-p-fenilenodiamina;0
2921.51.32;N-Isopropil-N'-fenil-p-fenilenodiamina;0
2921.51.33;N-(1,3-Dimetilbutil)-N'-fenil-p-fenilenodiamina;0
2921.51.34;N-(1,4-Dimetilpentil)-N'-fenil-p-fenilenodiamina;0
2921.51.35;N-Fenil-p-fenilenodiamina (4-aminodifenilamina) e seus sais;0
2921.51.39;Outros;0
2921.51.90;Outros;0
2921.59;-- Outros;
2921.59.1;"Benzidina e seus derivados; sais destes produtos";
2921.59.11;3,3'-Diclorobenzidina;0
2921.59.19;Outros;0
2921.59.2;Diaminodifenilmetanos;
2921.59.21;4,4'-Diaminodifenilmetano;0
2921.59.29;Outros;0
2921.59.3;"Diaminodifenilaminas e seus derivados; sais destes produtos";
2921.59.31;4,4'-Diaminodifenilamina e seus sais;0
2921.59.32;Ácido 4,4'-diaminodifenilamino-2-sulfônico e seus sais;0
2921.59.39;Outros;0
2921.59.90;Outros;0
2922.1;"- Aminoálcoois, exceto os que contenham mais de um tipo de função oxigenada, seus éteres e seus ésteres; sais destes produtos:";
2922.11.00;-- Monoetanolamina e seus sais;0
2922.12.00;-- Dietanolamina e seus sais;0
2922.13;-- Trietanolamina e seus sais;
2922.13.10;Trietanolamina;0
2922.13.20;Sais;0
2922.14.00;-- Dextropropoxifeno (DCI) e seus sais;0
2922.19;-- Outros;
2922.19.1;"Propanolaminas e seus sais; derivados destes produtos";
2922.19.11;Monoisopropanolamina;0
2922.19.12;2,4-Diclorofenoxiacetato de triisopropanolamina;0
2922.19.13;2,4-Diclorofenoxiacetato de dimetilpropanolamina;0
2922.19.19;Outros;0
2922.19.2;Orfenadrina e seus sais;
2922.19.21;Citrato;0
2922.19.29;Outros;0
2922.19.3;Ambroxol e seus sais;
2922.19.31;Cloridrato;0
2922.19.39;Outros;0
2922.19.4;Clobutinol e seus sais;
2922.19.41;Cloridrato;0
2922.19.49;Outros;0
2922.19.5;N,N-Dialquil-2-aminoetanol, com grupos alquila de C1 a C3, e seus sais protonados;
2922.19.51;N,N-Dimetil-2-aminoetanol e seus sais protonados;0
2922.19.52;N,N-Dietil-2-aminoetanol e seus sais protonados;0
2922.19.59;Outros;0
2922.19.6;N-Alquil-dietanolamina, com grupo alquila de C1 a C3, e seus sais protonados;
2922.19.61;Metildietanolamina e seus sais;0
2922.19.62;Etildietanolamina e seus sais;0
2922.19.69;Outros;0
2922.19.9;Outros;
2922.19.91;1-p-Nitrofenil-2-amino-1,3-propanodiol;0
2922.19.92;Fumarato de benciclano;0
2922.19.93;Clembuterol (clenbuterol) e seu cloridrato;0
2922.19.94;Mirtecaína;0
2922.19.95;Tamoxifen e seu citrato;0
2922.19.99;Outros;0
2922.2;"- Aminonaftóis e outros aminofenóis, exceto os que contenham mais de um tipo de função oxigenada, seus éteres e ésteres; sais destes produtos:";
2922.21.00;-- Ácidos aminonaftolsulfônicos e seus sais;0
2922.29;-- Outros;
2922.29.1;o-, m-, p-Aminofenóis, e seus sais;
2922.29.11;p-Aminofenol;0
2922.29.19;Outros;0
2922.29.20;Nitroanisidinas e seus sais;0
2922.29.90;Outros;0
2922.3;"- Aminoaldeídos, aminocetonas e aminoquinonas, exceto de funções oxigenadas diferentes; sais destes produtos:";
2922.31;"-- Anfepramona (DCI), metadona (DCI) e normetadona (DCI); sais destes produtos";
2922.31.1;Anfepramona e seus sais;
2922.31.11;Anfepramona;0
2922.31.12;Sais;0
2922.31.20;Metadona e seus sais;0
2922.31.30;Normetadona e seus sais;0
2922.39;-- Outros;
2922.39.10;Aminoantraquinonas e seus sais;0
2922.39.2;Ketamina e seus sais;
2922.39.21;Cloridrato;0
2922.39.29;Outros;0
2922.39.90;Outros;0
2922.4;"- Aminoácidos, exceto os que contenham mais de um tipo de função oxigenada, e seus ésteres; sais destes produtos:";
2922.41;"-- Lisina e seus ésteres; sais destes produtos";
2922.41.10;Lisina;0
2922.41.90;Outros;0
2922.42;-- Ácido glutâmico e seus sais;
2922.42.10;Ácido glutâmico;0
2922.42.20;Sais;0
2922.43.00;-- Ácido antranílico e seus sais;0
2922.44;-- Tilidina (DCI) e seus sais;
2922.44.10;Tilidina;0
2922.44.20;Sais;0
2922.49;-- Outros;
2922.49.10;Glicina e seus sais;0
2922.49.20;Ácido etilenodiaminotetracético (EDTA) e seus sais;0
2922.49.3;Ácido iminodiacético e seus sais;
2922.49.31;Ácido iminodiacético;0
2922.49.32;Sais;0
2922.49.40;Ácido dietilenotriaminopentacético e seus sais;0
2922.49.5;"alfa-Fenilglicina e seus sais; derivados destes produtos";
2922.49.51;alfa-Fenilglicina;0
2922.49.52;Cloridrato de cloreto de D(-)alfa-aminobenzenoacetila;0
2922.49.59;Outros;0
2922.49.6;"Diclofenaco e seus sais; derivados destes produtos";
2922.49.61;Diclofenaco de sódio;0
2922.49.62;Diclofenaco de potássio;0
2922.49.63;Diclofenaco de dietilamônio;0
2922.49.64;Diclofenaco;0
2922.49.69;Outros;0
2922.49.90;Outros;0
2922.50;- Aminoálcoois-fenóis, aminoácidos-fenóis e outros compostos aminados de funções oxigenadas;
2922.50.1;Fenilefrina e seus sais;
2922.50.11;Cloridrato;0
2922.50.19;Outros;0
2922.50.2;Propafenona e seus sais;
2922.50.21;Cloridrato;0
2922.50.29;Outros;0
2922.50.3;"Tirosina e seus derivados; sais destes produtos";
2922.50.31;Levodopa;0
2922.50.32;Metildopa;0
2922.50.39;Outros;0
2922.50.4;Metoprolol e seus sais;
2922.50.41;Tartarato;0
2922.50.49;Outros;0
2922.50.50;Propranolol e seus sais;0
2922.50.9;Outros;
2922.50.91;N-(1-(Metoxicarbonil)propen-2-il)-alfa-amino-p-hidroxifenilacetato de sódio (NAPOH);0
2922.50.99;Outros;0
2923.10.00;- Colina e seus sais;0
2923.20.00;- Lecitinas e outros fosfoaminolipídios;0
2923.90;- Outros;
2923.90.10;Betaína e seus sais;0
2923.90.20;Derivados da colina;0
2923.90.30;Cloreto de 3-cloro-2-hidroxipropiltrimetilamônio;0
2923.90.40;Halogenetos de alquil-trimetilamônio, com grupo alquila de C6 a C22;0
2923.90.50;Halogenetos de dialquil-dimetilamônio ou de alquil-benzil-dimetilamônio, com grupo alquila de C6 a C22;0
2923.90.60;Halogenetos de pentametil-alquil-propilenodiamônio, com grupo alquila de C6 a C22;0
2923.90.90;Outros;0
2924.1;"- Amidas (incluindo os carbamatos) acíclicas e seus derivados; sais destes produtos:";
2924.11.00;-- Meprobamato (DCI);0
2924.12;-- Fluoroacetamida (ISO), fosfamidona (ISO) e monocrotofós (ISO);
2924.12.10;Fluoroacetamida;0
2924.12.20;Fosfamidona;0
2924.12.30;Monocrotofós;0
2924.19;-- Outros;
2924.19.1;"Acetoacetamida e seus derivados; sais destes produtos";
2924.19.11;2-Cloro-N-metilacetoacetamida;0
2924.19.19;Outros;0
2924.19.2;"Formamidas; acetamidas";
2924.19.21;N-Metilformamida;0
2924.19.22;N,N-Dimetilformamida;0
2924.19.29;Outras;0
2924.19.3;Acrilamidas e seus derivados;
2924.19.31;Acrilamida;0
2924.19.32;Metacrilamidas;0
2924.19.39;Outros;0
2924.19.4;Crotonamidas e seus derivados;
2924.19.42;Dicrotofós;0
2924.19.49;Outros;0
2924.19.9;Outros;
2924.19.91;N,N'-Dimetilureia;0
2924.19.92;Carisoprodol;0
2924.19.93;N,N'-(Diestearoil)etilenodiamina (N,N'-etilen-bis-estearamida);0
2924.19.94;Dietanolamidas de ácidos graxos de C12 a C18;0
2924.19.99;Outros;0
2924.2;"- Amidas (incluindo os carbamatos) cíclicas e seus derivados; sais destes produtos:";
2924.21;"-- Ureínas e seus derivados; sais destes produtos";
2924.21.1;"Carbanilida e seus derivados; sais destes produtos";
2924.21.11;Hexanitrocarbanilidas;0
2924.21.19;Outros;0
2924.21.20;Diuron;0
2924.21.90;Outros;0
2924.23.00;-- Ácido 2-acetamidobenzóico (ácido N-acetilantranílico) e seus sais;0
2924.24.00;-- Etinamato (DCI);0
2924.29;-- Outros;
2924.29.1;"Acetanilida e seus derivados; sais destes produtos";
2924.29.11;Acetanilida;0
2924.29.12;4-Aminoacetanilida;0
2924.29.13;Acetaminofen (paracetamol);0
2924.29.14;Lidocaína e seu cloridrato;0
2924.29.15;2,5-Dimetoxiacetanilida;0
2924.29.19;Outros;0
2924.29.20;"Anilidas dos ácidos hidroxinaftóicos e seus derivados; sais destes produtos";0
2924.29.3;Carbamatos;
2924.29.31;Carbaril;0
2924.29.32;Propoxur;0
2924.29.39;Outros;0
2924.29.4;Acetamidas e seus derivados;
2924.29.41;Teclozam;0
2924.29.42;Alaclor;0
2924.29.43;"Atenolol; metolaclor";0
2924.29.44;Ácido ioxáglico;0
2924.29.45;Iodamida;0
2924.29.46;Cloreto do ácido p-acetamidobenzenossulfônico;0
2924.29.47;Ácido ioxitalâmico;0
2924.29.49;Outros;0
2924.29.5;"Metoxibenzamidas e seus derivados; sais destes produtos";
2924.29.51;Bromoprida;0
2924.29.52;Metoclopramida e seu cloridrato;0
2924.29.59;Outros;0
2924.29.6;"Propanamidas e seus derivados; sais destes produtos";
2924.29.61;Propanil;0
2924.29.62;Flutamida;0
2924.29.63;Prilocaína e seu cloridrato;0
2924.29.64;Iobitridol;0
2924.29.69;Outros;0
2924.29.9;Outros;
2924.29.91;Aspartame;0
2924.29.92;Diflubenzuron;0
2924.29.93;Metalaxil;0
2924.29.94;Triflumuron;0
2924.29.95;Buclosamida;0
2924.29.96;Benzoato de denatônio;0
2924.29.99;Outros;0
2925.1;"- Imidas e seus derivados; sais destes produtos:";
2925.11.00;-- Sacarina e seus sais;0
2925.12.00;-- Glutetimida (DCI);0
2925.19;-- Outros;
2925.19.10;Talidomida;0
2925.19.90;Outros;0
2925.2;"- Iminas e seus derivados; sais destes produtos:";
2925.21.00;-- Clordimeforme (ISO);0
2925.29;-- Outros;
2925.29.1;Arginina e seus sais;
2925.29.11;Aspartato de L-arginina;0
2925.29.19;Outros;0
2925.29.2;"Guanidina e seus derivados; sais destes produtos";
2925.29.21;Guanidina;0
2925.29.22;N,N'-Difenilguanidina;0
2925.29.23;Clorexidina e seus sais;0
2925.29.29;Outros;0
2925.29.30;Amitraz;0
2925.29.40;Isetionato de pentamidina;0
2925.29.50;N-(3,7-Dimetil-7-hidroxioctilideno)antranilato de metila;0
2925.29.90;Outros;0
2926.10.00;- Acrilonitrila;0
2926.20.00;- 1-Cianoguanidina (diciandiamida);0
2926.30;"- Fenproporex (DCI) e seus sais; intermediário da metadona (DCI) (4-ciano-2-dimetilamino-4,4-difenilbutano)";
2926.30.1;Fenproporex e seus sais;
2926.30.11;Fenproporex;0
2926.30.12;Sais;0
2926.30.20;Intermediário da metadona;0
2926.90;- Outros;
2926.90.1;Verapamil e seus sais;
2926.90.11;Verapamil;0
2926.90.12;Cloridrato;0
2926.90.19;Outros;0
2926.90.2;"Álcool alfa-ciano-3-fenoxibenzílico e seus derivados; ésteres destes produtos";
2926.90.21;Álcool alfa-ciano-3-fenoxibenzílico;0
2926.90.22;Ciflutrin;0
2926.90.23;Cipermetrina;0
2926.90.24;Deltametrina;0
2926.90.25;Fenvalerato;0
2926.90.26;Cialotrin (cyhalothrin);0
2926.90.29;Outros;0
2926.90.30;Sais de intermediário da metadona;0
2926.90.9;Outros;
2926.90.91;Adiponitrila (1,4-dicianobutano);0
2926.90.92;Cianidrina de acetona (acetona cianidrina);0
2926.90.93;Closantel;0
2926.90.95;Clorotalonil;0
2926.90.96;Cianoacrilatos de etila;0
2926.90.99;Outros;0
2927.00;Compostos diazóicos, azóicos ou azóxicos.;
2927.00.10;Compostos diazóicos;0
2927.00.2;Compostos azóicos;
2927.00.21;Azodicarbonamida;0
2927.00.29;Outros;0
2927.00.30;Compostos azóxicos;0
2928.00;Derivados orgânicos da hidrazina e da hidroxilamina.;
2928.00.1;"Acetoxima e seus derivados; sais destes produtos";
2928.00.11;Metiletilacetoxima;0
2928.00.19;Outros;0
2928.00.20;Carbidopa;0
2928.00.30;2-Hidrazinoetanol;0
2928.00.4;Fenilidrazina e seus derivados;
2928.00.41;Fenilidrazina;0
2928.00.42;Derivados;0
2928.00.90;Outros;0
2929.10;- Isocianatos;
2929.10.10;Diisocianato de difenilmetano;0
2929.10.2;Diisocianatos de tolueno;
2929.10.21;Mistura de isômeros;0
2929.10.29;Outros;0
2929.10.30;Isocianato de 3,4-diclorofenila;0
2929.10.90;Outros;0
2929.90;- Outros;
2929.90.1;Ácido ciclâmico e seus sais;
2929.90.11;De sódio;0
2929.90.12;De cálcio;0
2929.90.19;Outros;0
2929.90.2;N,N-Dialquilfosforoamidatos e seus derivados;
2929.90.21;Dialogenetos de N,N-dialquilfosforoamidatos, com grupos alquila de C1 a C3;0
2929.90.22;N,N-Dialquilfosforoamidatos de dialquila, com grupos alquila de C1 a C3;0
2929.90.29;Outros;0
2929.90.90;Outros;0
2930.20;- Tiocarbamatos e ditiocarbamatos;
2930.20.1;Tiocarbamatos;
2930.20.11;EPTC;0
2930.20.12;Cartap;0
2930.20.13;Tiobencarb (dietiltiocarbamato de S-4-clorobenzila);0
2930.20.19;Outros;0
2930.20.2;Ditiocarbamatos;
2930.20.21;"Ziram; dimetilditiocarbamato de sódio";0
2930.20.22;Dietilditiocarbamato de zinco;0
2930.20.23;Dibutilditiocarbamato de zinco;0
2930.20.24;Metam sódio;0
2930.20.29;Outros;0
2930.30;- Mono-, di- ou tetrassulfetos de tiourama;
2930.30.1;Monossulfetos;
2930.30.11;De tetrametiltiourama;0
2930.30.12;Sulfiram;0
2930.30.19;Outros;0
